Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
28,tt0074147,2/8/13,2/8/13,,"Face to Face",https://www.imdb.com/title/tt0074147/,Movie,7.5,114,1976,"Drama, Fantasy",6115,4/5/76,"Ingmar Bergman",,
29,tt0087921,2/9/13,2/9/13,,"Places in the Heart",https://www.imdb.com/title/tt0087921/,Movie,7.4,111,1984,"Drama",13237,10/5/84,"Robert Benton",,
30,tt0079638,2/9/13,2/9/13,,"Norma Rae",https://www.imdb.com/title/tt0079638/,Movie,7.3,114,1979,"Drama",12758,3/2/79,"Martin Ritt",,
31,tt0100594,2/15/13,2/15/13,,"The Sheltering Sky",https://www.imdb.com/title/tt0100594/,Movie,6.7,138,1990,"Adventure, Drama",13676,12/12/90,"Bernardo Bertolucci",,
32,tt0060827,2/15/13,2/15/13,,"Persona",https://www.imdb.com/title/tt0060827/,Movie,8.1,83,1967,"Drama, Thriller",130193,3/16/67,"Ingmar Bergman",,
33,tt0083922,2/15/13,2/15/13,,"Fanny and Alexander",https://www.imdb.com/title/tt0083922/,Movie,8.1,188,1982,"Drama",67294,12/17/82,"Ingmar Bergman",,
34,tt0050986,2/15/13,2/15/13,,"Wild Strawberries",https://www.imdb.com/title/tt0050986/,Movie,8.1,91,1959,"Drama, Romance",114414,6/22/59,"Ingmar Bergman",,
35,tt0072417,2/15/13,2/15/13,,"A Woman Under the Influence",https://www.imdb.com/title/tt0072417/,Movie,8.1,155,1974,"Drama, Romance",28480,11/18/74,"John Cassavetes",,
36,tt0072443,2/15/13,2/15/13,,"Mirror",https://www.imdb.com/title/tt0072443/,Movie,8.0,107,1975,"Biography, Drama",51847,3/7/75,"Andrei Tarkovsky",,
37,tt0279111,2/16/13,2/16/13,,"Gods and Generals",https://www.imdb.com/title/tt0279111/,Movie,6.2,219,2003,"Biography, Drama, History, War",17152,2/21/03,"Ron Maxwell",,
38,tt0032599,2/17/13,2/17/13,,"His Girl Friday",https://www.imdb.com/title/tt0032599/,Movie,7.8,92,1940,"Comedy, Drama, Romance",62889,1/18/40,"Howard Hawks",,
39,tt1045658,2/18/13,2/18/13,,"Silver Linings Playbook",https://www.imdb.com/title/tt1045658/,Movie,7.7,122,2012,"Comedy, Drama, Romance",740437,12/25/12,"David O. Russell",8,2/13/16
40,tt0094226,2/27/13,2/27/13,,"The Untouchables",https://www.imdb.com/title/tt0094226/,Movie,7.8,119,1987,"Crime, Drama, Thriller",329453,6/3/87,"Brian De Palma",,
41,tt1859446,3/19/13,3/19/13,,"Alps",https://www.imdb.com/title/tt1859446/,Movie,6.4,93,2011,"Drama",13645,10/27/11,"Yorgos Lanthimos",,
42,tt0206216,3/21/13,3/21/13,,"Railroad Man",https://www.imdb.com/title/tt0206216/,Movie,7.2,112,1999,"Drama",1314,6/5/99,"Yasuo Furuhata",,
43,tt1885331,3/22/13,3/22/13,,"Paris-Manhattan",https://www.imdb.com/title/tt1885331/,Movie,6.1,77,2012,"Comedy, Romance",3977,7/18/12,"Sophie Lellouche",,
44,tt0181536,3/22/13,3/22/13,,"Finding Forrester",https://www.imdb.com/title/tt0181536/,Movie,7.3,136,2001,"Drama",89370,1/12/01,"Gus Van Sant",,
45,tt0091605,3/22/13,3/22/13,,"The Name of the Rose",https://www.imdb.com/title/tt0091605/,Movie,7.7,130,1986,"Drama, Mystery, Thriller",116692,9/24/86,"Jean-Jacques Annaud",,
46,tt0083947,3/22/13,3/22/13,,"Five Days One Summer",https://www.imdb.com/title/tt0083947/,Movie,6.1,108,1982,"Drama",1329,1982,"Fred Zinnemann",,
47,tt0120663,3/24/13,3/24/13,,"Eyes Wide Shut",https://www.imdb.com/title/tt0120663/,Movie,7.5,159,1999,"Drama, Mystery, Thriller",372951,7/16/99,"Stanley Kubrick",,
48,tt0107630,3/24/13,3/24/13,,"My Life",https://www.imdb.com/title/tt0107630/,Movie,6.8,117,1993,"Drama",12140,11/12/93,"Bruce Joel Rubin",,
49,tt0120802,3/25/13,3/25/13,,"The Red Violin",https://www.imdb.com/title/tt0120802/,Movie,7.6,130,1999,"Drama, Music, Mystery, Romance",34398,6/11/99,"François Girard",,
50,tt0140352,3/29/13,3/29/13,,"The Insider",https://www.imdb.com/title/tt0140352/,Movie,7.8,157,1999,"Biography, Drama, Thriller",179570,11/5/99,"Michael Mann",,
51,tt0120791,3/30/13,3/30/13,,"Practical Magic",https://www.imdb.com/title/tt0120791/,Movie,6.3,104,1998,"Comedy, Drama, Fantasy, Romance",92650,10/16/98,"Griffin Dunne",,
52,tt0118556,3/30/13,3/30/13,,"Addicted to Love",https://www.imdb.com/title/tt0118556/,Movie,6.1,100,1997,"Comedy, Romance",25632,5/23/97,"Griffin Dunne",,
53,tt0332280,3/30/13,3/30/13,,"The Notebook",https://www.imdb.com/title/tt0332280/,Movie,7.8,123,2004,"Drama, Romance",616551,6/25/04,"Nick Cassavetes",,
54,tt0119738,3/30/13,3/30/13,,"My Best Friend's Wedding",https://www.imdb.com/title/tt0119738/,Movie,6.3,105,1997,"Comedy, Drama, Romance",154566,6/20/97,"P.J. Hogan",,
55,tt0104231,3/30/13,3/30/13,,"Far and Away",https://www.imdb.com/title/tt0104231/,Movie,6.6,140,1992,"Adventure, Drama, Romance, Western",67996,5/22/92,"Ron Howard",,
56,tt0425123,3/30/13,3/30/13,,"Just Like Heaven",https://www.imdb.com/title/tt0425123/,Movie,6.7,95,2005,"Comedy, Drama, Fantasy, Romance",117054,9/16/05,"Mark Waters",,
57,tt0120686,3/30/13,3/30/13,,"Stepmom",https://www.imdb.com/title/tt0120686/,Movie,6.8,125,1998,"Comedy, Drama",74264,12/25/98,"Chris Columbus",,
58,tt0151738,3/30/13,3/30/13,,"Never Been Kissed",https://www.imdb.com/title/tt0151738/,Movie,6.0,107,1999,"Comedy, Drama, Romance",97237,4/9/99,"Raja Gosnell",,
59,tt0090985,4/3/13,4/3/13,,"The Decline of the American Empire",https://www.imdb.com/title/tt0090985/,Movie,7.1,101,1986,"Comedy, Drama",8674,11/14/86,"Denys Arcand",,
60,tt0028944,4/4/13,4/4/13,,"The Good Earth",https://www.imdb.com/title/tt0028944/,Movie,7.5,138,1937,"Drama, Romance",5383,8/6/37,"Sidney Franklin, Victor Fleming, Gustav Machatý, Sam Wood",,
61,tt0047296,4/5/13,4/5/13,,"On the Waterfront",https://www.imdb.com/title/tt0047296/,Movie,8.1,108,1954,"Crime, Drama, Thriller",163971,6/22/54,"Elia Kazan",,
62,tt0088933,4/5/13,4/5/13,,"Cocoon",https://www.imdb.com/title/tt0088933/,Movie,6.7,117,1985,"Comedy, Drama, Sci-Fi",68479,6/21/85,"Ron Howard",,
63,tt0061613,4/5/13,4/5/13,,"Oedipus Rex",https://www.imdb.com/title/tt0061613/,Movie,7.2,104,1984,"Drama",6843,12/7/84,"Pier Paolo Pasolini",,
64,tt0430594,4/5/13,4/5/13,,"The Silence of the Sea",https://www.imdb.com/title/tt0430594/,TV Movie,7.8,93,2004,"Drama, Romance, War",1528,10/24/04,"Pierre Boutron",,
65,tt0039822,4/5/13,4/5/13,,"The Silence of the Sea",https://www.imdb.com/title/tt0039822/,Movie,7.6,87,1949,"Drama, Romance, War",5613,4/22/49,"Jean-Pierre Melville",,
66,tt0067445,4/5/13,4/5/13,,"Death in Venice",https://www.imdb.com/title/tt0067445/,Movie,7.4,130,1971,"Drama, Romance",22938,6/1/71,"Luchino Visconti",,
67,tt0097872,4/5/13,4/5/13,,"My Nights Are More Beautiful Than Your Days",https://www.imdb.com/title/tt0097872/,Movie,6.1,110,1989,"Drama, Romance",2185,4/19/89,"Andrzej Zulawski",,
68,tt1020773,4/5/13,4/5/13,,"Certified Copy",https://www.imdb.com/title/tt1020773/,Movie,7.2,106,2011,"Drama, Romance",26760,3/25/11,"Abbas Kiarostami",,
69,tt0062480,4/5/13,4/5/13,,"Weekend",https://www.imdb.com/title/tt0062480/,Movie,6.9,105,1968,"Adventure, Comedy, Drama",15724,9/27/68,"Jean-Luc Godard",,
70,tt0055032,4/5/13,4/5/13,,"Jules and Jim",https://www.imdb.com/title/tt0055032/,Movie,7.7,105,1962,"Drama, Romance",44248,1/23/62,"François Truffaut",,
71,tt0117398,4/5/13,4/5/13,,"The Promise",https://www.imdb.com/title/tt0117398/,Movie,7.7,90,1997,"Drama",8514,5/16/97,"Jean-Pierre Dardenne, Luc Dardenne",,
72,tt0200071,4/5/13,4/5/13,,"Rosetta",https://www.imdb.com/title/tt0200071/,Movie,7.4,95,1999,"Drama",15504,9/22/99,"Jean-Pierre Dardenne, Luc Dardenne",,
73,tt0044060,4/5/13,4/5/13,,"Summer Interlude",https://www.imdb.com/title/tt0044060/,Movie,7.5,96,1954,"Drama, Romance",6622,10/26/54,"Ingmar Bergman",,
74,tt0095800,4/5/13,4/5/13,,"The Bear",https://www.imdb.com/title/tt0095800/,Movie,7.7,96,1989,"Adventure, Drama, Family",19015,10/27/89,"Jean-Jacques Annaud",,
75,tt1772424,4/5/13,4/5/13,,"Where Do We Go Now?",https://www.imdb.com/title/tt1772424/,Movie,7.4,110,2011,"Comedy, Drama",13463,9/14/11,"Nadine Labaki",,
76,tt0137320,4/5/13,4/5/13,,"The Red and the Black",https://www.imdb.com/title/tt0137320/,TV Movie,7.5,200,1997,"Adventure, Drama, Romance",499,12/22/97,"Jean-Daniel Verhaeghe",,
77,tt0210727,4/5/13,4/5/13,,"Himalaya",https://www.imdb.com/title/tt0210727/,Movie,7.4,108,2001,"Drama",5674,6/22/01,"Eric Valli, Michel Debats",,
78,tt0469772,4/5/13,4/5/13,,"Bergman Island",https://www.imdb.com/title/tt0469772/,TV Movie,7.7,85,2004,"Documentary, Biography",1016,4/8/04,"Marie Nyreröd",,
79,tt0045152,4/5/13,4/5/13,,"Singin' in the Rain",https://www.imdb.com/title/tt0045152/,Movie,8.3,103,1952,"Comedy, Musical, Romance",259344,4/10/52,"Stanley Donen, Gene Kelly",,
80,tt0076727,4/5/13,4/5/13,,"Office Romance",https://www.imdb.com/title/tt0076727/,Movie,8.2,159,1977,"Comedy, Drama, Romance",10329,10/26/77,"Eldar Ryazanov",,
81,tt0073179,4/5/13,4/5/13,,"The Irony of Fate, or Enjoy Your Bath!",https://www.imdb.com/title/tt0073179/,TV Movie,8.1,192,1976,"Comedy, Drama, Romance",13471,1/1/76,"Eldar Ryazanov",,
82,tt2336960,4/7/13,4/7/13,,"Inch'Allah",https://www.imdb.com/title/tt2336960/,Movie,6.8,102,2013,"Drama",2685,8/16/13,"Anaïs Barbeau-Lavalette",,
83,tt1442519,4/7/13,4/7/13,,"The Hedgehog",https://www.imdb.com/title/tt1442519/,Movie,7.3,100,2009,"Drama",9733,7/3/09,"Mona Achache",,
84,tt0795351,4/7/13,4/7/13,,"Case 39",https://www.imdb.com/title/tt0795351/,Movie,6.2,109,2010,"Horror, Mystery, Thriller",92980,10/1/10,"Christian Alvart",,
85,tt0058947,4/7/13,4/7/13,,"Battle of the Bulge",https://www.imdb.com/title/tt0058947/,Movie,6.8,167,1966,"Drama, History, War",17745,1/28/66,"Ken Annakin",,
86,tt0068326,4/8/13,4/8/13,,"Butterflies Are Free",https://www.imdb.com/title/tt0068326/,Movie,7.2,109,1972,"Comedy, Drama, Music, Romance",5935,7/1972,"Milton Katselas",,
87,tt0076460,4/8/13,4/8/13,,"Proof of the Man",https://www.imdb.com/title/tt0076460/,Movie,6.6,100,1977,"Crime, Drama",433,10/8/77,"Jun'ya Satô",,
88,tt1883092,4/8/13,4/8/13,,"Generation War",https://www.imdb.com/title/tt1883092/,TV Mini Series,8.4,270,2014,"Action, Drama, History, War",32446,5/6/14,,,
89,tt0248654,4/9/13,4/9/13,,"Six Feet Under",https://www.imdb.com/title/tt0248654/,TV Series,8.7,60,2001,"Comedy, Drama",148373,6/3/01,,,
90,tt1183665,4/12/13,4/12/13,,"Cracks",https://www.imdb.com/title/tt1183665/,Movie,6.6,104,2011,"Drama, Mystery, Thriller",21051,3/18/11,"Jordan Scott",,
91,tt0093277,4/13/13,4/13/13,,"Ironweed",https://www.imdb.com/title/tt0093277/,Movie,6.7,143,1988,"Drama",9871,2/12/88,"Hector Babenco",,
92,tt0058135,4/13/13,4/13/13,,"The Gendarme of Saint-Tropez",https://www.imdb.com/title/tt0058135/,Movie,7.1,90,1964,"Comedy, Crime",13767,9/9/64,"Jean Girault",,
93,tt0283139,4/13/13,4/13/13,,"White Oleander",https://www.imdb.com/title/tt0283139/,Movie,7.1,109,2002,"Drama",33981,10/11/02,"Peter Kosminsky",,
94,tt0094924,4/13/13,4/13/13,,"A Cry in the Dark",https://www.imdb.com/title/tt0094924/,Movie,6.9,120,1988,"Biography, Drama",11159,11/11/88,"Fred Schepisi",,
95,tt0061184,4/14/13,4/14/13,,"Who's Afraid of Virginia Woolf?",https://www.imdb.com/title/tt0061184/,Movie,8.0,131,1966,"Drama",79620,6/22/66,"Mike Nichols",,
96,tt0060450,4/16/13,4/16/13,,"The Gendarme in New York",https://www.imdb.com/title/tt0060450/,Movie,6.4,102,1965,"Comedy, Crime",8343,10/29/65,"Jean Girault",,
97,tt0120824,4/18/13,4/18/13,,"The Shipping News",https://www.imdb.com/title/tt0120824/,Movie,6.7,111,2002,"Drama",33874,1/18/02,"Lasse Hallström",,
98,tt0223897,4/18/13,4/18/13,,"Pay It Forward",https://www.imdb.com/title/tt0223897/,Movie,7.2,123,2000,"Drama",123642,10/20/00,"Mimi Leder",,
99,tt2217759,4/19/13,4/19/13,,"Monday Mornings",https://www.imdb.com/title/tt2217759/,TV Series,7.7,,2013,"Drama",2862,2/4/13,,,
100,tt1965065,4/19/13,4/19/13,,"Save the Date",https://www.imdb.com/title/tt1965065/,Movie,5.7,97,2012,"Comedy, Romance",7140,11/8/12,"Michael Mohan",,
101,tt0074860,4/19/13,4/19/13,,"Marathon Man",https://www.imdb.com/title/tt0074860/,Movie,7.4,125,1976,"Crime, Drama, Thriller",69902,10/8/76,"John Schlesinger",,
102,tt0117338,4/20/13,4/20/13,,"Picnic",https://www.imdb.com/title/tt0117338/,Movie,7.1,68,1996,"Drama, Fantasy",2258,7/26/96,"Shunji Iwai",,
103,tt0404032,4/21/13,4/21/13,,"The Exorcism of Emily Rose",https://www.imdb.com/title/tt0404032/,Movie,6.7,119,2005,"Drama, Horror, Thriller",139592,9/9/05,"Scott Derrickson",,
104,tt2189221,4/23/13,4/23/13,,"Defiance",https://www.imdb.com/title/tt2189221/,TV Series,7.0,43,2013,"Action, Drama, Sci-Fi",44360,4/15/13,,,
105,tt0090329,4/23/13,4/23/13,,"Witness",https://www.imdb.com/title/tt0090329/,Movie,7.4,112,1985,"Drama, Romance, Thriller",104093,2/8/85,"Peter Weir",,
106,tt0081974,4/23/13,4/23/13,,"Absence of Malice",https://www.imdb.com/title/tt0081974/,Movie,6.9,116,1981,"Drama, Romance, Thriller",14681,12/18/81,"Sydney Pollack",,
107,tt0082971,4/23/13,4/23/13,,"Raiders of the Lost Ark",https://www.imdb.com/title/tt0082971/,Movie,8.4,115,1981,"Action, Adventure",1033020,6/12/81,"Steven Spielberg",,
108,tt0100530,4/23/13,4/23/13,,"The Russia House",https://www.imdb.com/title/tt0100530/,Movie,6.1,123,1990,"Drama, Romance, Thriller",17455,12/21/90,"Fred Schepisi",,
109,tt0091557,4/23/13,4/23/13,,"The Mosquito Coast",https://www.imdb.com/title/tt0091557/,Movie,6.6,117,1986,"Adventure, Drama, Thriller",31067,11/26/86,"Peter Weir",,
110,tt0083111,4/23/13,4/23/13,,"Southern Comfort",https://www.imdb.com/title/tt0083111/,Movie,7.1,106,1981,"Action, Thriller",21640,9/25/81,"Walter Hill",,
111,tt2343137,4/25/13,4/25/13,,"Spies of Warsaw",https://www.imdb.com/title/tt2343137/,TV Mini Series,6.7,120,2013,"Action, Adventure, Drama, Romance, War",2621,4/3/13,,,
112,tt0083851,4/25/13,4/25/13,,"The Draughtsman's Contract",https://www.imdb.com/title/tt0083851/,Movie,7.2,108,1982,"Comedy, Drama, Mystery",11007,11/12/82,"Peter Greenaway",,
113,tt1951264,4/27/13,4/27/13,,"The Hunger Games: Catching Fire",https://www.imdb.com/title/tt1951264/,Movie,7.5,146,2013,"Action, Adventure, Sci-Fi, Thriller",718024,11/22/13,"Francis Lawrence",,
114,tt0141926,4/27/13,4/27/13,,"U-571",https://www.imdb.com/title/tt0141926/,Movie,6.6,116,2000,"Action, War",87127,4/21/00,"Jonathan Mostow",,
115,tt0077572,4/27/13,4/27/13,,"Force 10 from Navarone",https://www.imdb.com/title/tt0077572/,Movie,6.4,118,1978,"Action, Drama, War",19664,12/8/78,"Guy Hamilton",,
116,tt0293508,4/27/13,4/27/13,,"The Phantom of the Opera",https://www.imdb.com/title/tt0293508/,Movie,7.2,143,2005,"Drama, Musical, Romance, Thriller",130281,1/21/05,"Joel Schumacher",,
117,tt0097108,4/27/13,4/27/13,,"The Cook, the Thief, His Wife & Her Lover",https://www.imdb.com/title/tt0097108/,Movie,7.5,124,1990,"Crime, Drama",41500,4/6/90,"Peter Greenaway",,
118,tt1235800,4/28/13,4/28/13,,"Relentless Enemies",https://www.imdb.com/title/tt1235800/,Video,7.5,90,2007,"Documentary",185,3/27/07,"Beverly Joubert, Dereck Joubert",,
119,tt1379182,4/28/13,4/28/13,,"Dogtooth",https://www.imdb.com/title/tt1379182/,Movie,7.2,97,2009,"Drama, Thriller",109190,11/11/09,"Yorgos Lanthimos",,
120,tt0422295,4/30/13,4/30/13,,"Fur: An Imaginary Portrait of Diane Arbus",https://www.imdb.com/title/tt0422295/,Movie,6.3,122,2006,"Biography, Drama, Romance, Thriller",16336,10/20/06,"Steven Shainberg",,
121,tt0277674,5/3/13,5/3/13,,"Dei gau tin cheung",https://www.imdb.com/title/tt0277674/,Movie,7.2,95,2001,"Drama",59,3/8/01,"Raymond To",,
122,tt2047885,5/7/13,5/7/13,,"The Revolutionary",https://www.imdb.com/title/tt2047885/,Movie,7.2,90,2012,"Documentary",76,1/2012,"Irv Drasnin Lucy Ostrander Don Sellers",,
123,tt0050086,5/8/13,5/8/13,,"3:10 to Yuma",https://www.imdb.com/title/tt0050086/,Movie,7.6,92,1957,"Drama, Thriller, Western",21528,8/7/57,"Delmer Daves",,
124,tt0084434,5/8/13,5/8/13,,"An Officer and a Gentleman",https://www.imdb.com/title/tt0084434/,Movie,7.0,124,1982,"Drama, Romance",61965,8/13/82,"Taylor Hackford",,
125,tt0111127,5/9/13,5/9/13,,"Serial Mom",https://www.imdb.com/title/tt0111127/,Movie,6.8,95,1994,"Comedy, Crime, Thriller",32472,4/13/94,"John Waters",,
126,tt0114478,5/16/13,5/16/13,,"Smoke",https://www.imdb.com/title/tt0114478/,Movie,7.4,112,1995,"Comedy, Drama",37977,6/9/95,"Wayne Wang",,
127,tt0075342,5/18/13,5/18/13,,"The Town That Dreaded Sundown",https://www.imdb.com/title/tt0075342/,Movie,6.0,90,1976,"Crime, Drama, Horror, Mystery, Thriller",9708,12/24/76,"Charles B. Pierce",,
128,tt0107050,5/19/13,5/19/13,,"Grumpy Old Men",https://www.imdb.com/title/tt0107050/,Movie,7.0,103,1993,"Comedy, Drama, Romance",53636,12/25/93,"Donald Petrie",,
129,tt0039628,5/28/13,5/28/13,,"Miracle on 34th Street",https://www.imdb.com/title/tt0039628/,Movie,7.9,96,1947,"Comedy, Drama, Family",54823,7/4/47,"George Seaton",,
130,tt0094737,5/28/13,5/28/13,,"Big",https://www.imdb.com/title/tt0094737/,Movie,7.3,104,1988,"Comedy, Drama, Fantasy, Romance",238973,6/3/88,"Penny Marshall",,
131,tt1695353,6/7/13,6/7/13,,"Man, Woman, Wild",https://www.imdb.com/title/tt1695353/,TV Series,6.7,,2010,"Adventure, Reality-TV",1170,7/16/10,,8,8/12/15
132,tt2258281,6/9/13,6/9/13,,"Beyond the Hills",https://www.imdb.com/title/tt2258281/,Movie,7.5,152,2012,"Drama",13162,10/26/12,"Cristian Mungiu",,
133,tt0181852,6/16/13,6/16/13,,"Terminator 3: Rise of the Machines",https://www.imdb.com/title/tt0181852/,Movie,6.3,109,2003,"Action, Sci-Fi",417443,7/2/03,"Jonathan Mostow",7,1/24/14
134,tt0993846,6/18/13,6/18/13,,"The Wolf of Wall Street",https://www.imdb.com/title/tt0993846/,Movie,8.2,180,2013,"Biography, Comedy, Crime, Drama",1570346,12/25/13,"Martin Scorsese",,
135,tt2357129,6/22/13,6/22/13,,"Jobs",https://www.imdb.com/title/tt2357129/,Movie,6.0,128,2013,"Biography, Drama",103688,8/16/13,"Joshua Michael Stern",,
136,tt0084855,7/5/13,7/5/13,,"The Verdict",https://www.imdb.com/title/tt0084855/,Movie,7.7,129,1982,"Drama",45676,12/17/82,"Sidney Lumet",,
137,tt1366321,7/5/13,7/5/13,,"The Take",https://www.imdb.com/title/tt1366321/,TV Mini Series,7.7,180,2009,"Crime, Drama, Thriller",9097,6/16/09,,,
138,tt0094663,7/8/13,7/8/13,,"Another Woman",https://www.imdb.com/title/tt0094663/,Movie,7.2,81,1988,"Drama",14977,11/18/88,"Woody Allen",,
139,tt0077742,7/8/13,7/8/13,,"Interiors",https://www.imdb.com/title/tt0077742/,Movie,7.3,92,1978,"Drama",20852,10/6/78,"Woody Allen",,
140,tt0110099,7/8/13,7/8/13,,"I.Q.",https://www.imdb.com/title/tt0110099/,Movie,6.2,100,1994,"Comedy, Romance",26581,12/25/94,"Fred Schepisi",,
141,tt0088161,7/8/13,7/8/13,,"Splash",https://www.imdb.com/title/tt0088161/,Movie,6.3,111,1984,"Comedy, Fantasy, Romance",83067,3/9/84,"Ron Howard",,
142,tt0056197,7/8/13,7/8/13,,"The Longest Day",https://www.imdb.com/title/tt0056197/,Movie,7.7,178,1962,"Action, Drama, History, War",58880,10/4/62,"Ken Annakin, Andrew Marton, Gerd Oswald, Bernhard Wicki, Darryl F. Zanuck",,
143,tt0075314,7/8/13,7/8/13,,"Taxi Driver",https://www.imdb.com/title/tt0075314/,Movie,8.2,114,1976,"Crime, Drama",914876,2/9/76,"Martin Scorsese",,
144,tt0077416,7/8/13,7/8/13,,"The Deer Hunter",https://www.imdb.com/title/tt0077416/,Movie,8.1,183,1979,"Drama, War",360651,2/23/79,"Michael Cimino",,
145,tt0056801,7/8/13,7/8/13,,"8½",https://www.imdb.com/title/tt0056801/,Movie,8.0,138,1963,"Drama",124749,6/24/63,"Federico Fellini",,
